timestamp,signal,last_price,position_qty,position_avg,fees,open_orders,take_profits,stop_loss,bot_version,symbol
2025-09-28T19:07:37.814308+00:00,"{'tipo': 'SOPORTE', 'precio': 4007.87, 'volumen': 1241.3110000000001}",4040.06,0.096,4038.41999999975,1.783e-05,"[{""side"": ""SELL"", ""price"": ""0"", ""qty"": ""0"", ""reduceOnly"": true}, {""side"": ""SELL"", ""price"": ""4046.50"", ""qty"": ""0.096"", ""reduceOnly"": true}, {""side"": ""BUY"", ""price"": ""4034.96"", ""qty"": ""0.024"", ""reduceOnly"": false}]","[{""price"": ""0"", ""qty"": ""0"", ""clientOrderId"": ""x-Cb7ytekJfde6acb590a24af3a1d5dc""}, {""price"": ""4046.50"", ""qty"": ""0.096"", ""clientOrderId"": ""TP_AUTO_TP_1759086433612""}]",3998.04,v1,ETHUSDT
2025-09-28T19:07:40.595091+00:00,"{'tipo': 'SOPORTE', 'precio': 4007.87, 'volumen': 1241.3110000000001}",4039.49,0.096,4038.41999999975,1.783e-05,"[{""side"": ""SELL"", ""price"": ""4046.50"", ""qty"": ""0.096"", ""reduceOnly"": true}, {""side"": ""BUY"", ""price"": ""4034"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""0"", ""qty"": ""0"", ""reduceOnly"": true}]","[{""price"": ""4046.50"", ""qty"": ""0.096"", ""clientOrderId"": ""TP_AUTO_TP_1759086459617""}, {""price"": ""0"", ""qty"": ""0"", ""clientOrderId"": ""x-Cb7ytekJ6e20e5472ae6f72c8c6ed6""}]",3998.04,v1,ETHUSDT
2025-09-28T19:08:03.844886+00:00,"{'tipo': 'SOPORTE', 'precio': 4007.87, 'volumen': 1241.3110000000001}",4037.1,0.096,4038.41999999975,1.783e-05,"[{""side"": ""SELL"", ""price"": ""4046.50"", ""qty"": ""0.096"", ""reduceOnly"": true}, {""side"": ""BUY"", ""price"": ""4034"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""0"", ""qty"": ""0"", ""reduceOnly"": true}]","[{""price"": ""4046.50"", ""qty"": ""0.096"", ""clientOrderId"": ""TP_AUTO_TP_1759086459617""}, {""price"": ""0"", ""qty"": ""0"", ""clientOrderId"": ""x-Cb7ytekJ6e20e5472ae6f72c8c6ed6""}]",3998.04,v1,ETHUSDT
2025-09-28T19:08:07.298723+00:00,"{'tipo': 'SOPORTE', 'precio': 4007.87, 'volumen': 1241.3110000000001}",4037.09,0.096,4038.41999999975,1.783e-05,"[{""side"": ""BUY"", ""price"": ""4033.06"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""4046.50"", ""qty"": ""0.096"", ""reduceOnly"": true}, {""side"": ""BUY"", ""price"": ""4031.04"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""0"", ""qty"": ""0"", ""reduceOnly"": true}, {""side"": ""BUY"", ""price"": ""4035.08"", ""qty"": ""0.024"", ""reduceOnly"": false}]","[{""price"": ""4046.50"", ""qty"": ""0.096"", ""clientOrderId"": ""TP_AUTO_TP_1759086486320""}, {""price"": ""0"", ""qty"": ""0"", ""clientOrderId"": ""x-Cb7ytekJ17d6f8ac14c766bc9c1556""}]",3998.04,v1,ETHUSDT
2025-09-28T19:08:29.885954+00:00,"{'tipo': 'SOPORTE', 'precio': 4007.87, 'volumen': 1241.3110000000001}",4038.06,0.096,4038.41999999975,1.783e-05,"[{""side"": ""BUY"", ""price"": ""4033.06"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""4046.50"", ""qty"": ""0.096"", ""reduceOnly"": true}, {""side"": ""BUY"", ""price"": ""4031.04"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""0"", ""qty"": ""0"", ""reduceOnly"": true}, {""side"": ""BUY"", ""price"": ""4035.08"", ""qty"": ""0.024"", ""reduceOnly"": false}]","[{""price"": ""4046.50"", ""qty"": ""0.096"", ""clientOrderId"": ""TP_AUTO_TP_1759086486320""}, {""price"": ""0"", ""qty"": ""0"", ""clientOrderId"": ""x-Cb7ytekJ17d6f8ac14c766bc9c1556""}]",3998.04,v1,ETHUSDT
2025-09-28T19:08:32.992594+00:00,"{'tipo': 'SOPORTE', 'precio': 4007.87, 'volumen': 1241.3110000000001}",4038.06,0.096,4038.41999999975,1.783e-05,"[{""side"": ""BUY"", ""price"": ""4032"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""4034.02"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""0"", ""qty"": ""0"", ""reduceOnly"": true}, {""side"": ""SELL"", ""price"": ""4046.50"", ""qty"": ""0.096"", ""reduceOnly"": true}]","[{""price"": ""0"", ""qty"": ""0"", ""clientOrderId"": ""x-Cb7ytekJ5d1d86f3c95cac85af4e1c""}, {""price"": ""4046.50"", ""qty"": ""0.096"", ""clientOrderId"": ""TP_AUTO_TP_1759086512012""}]",3998.04,v1,ETHUSDT
2025-09-28T19:08:55.932145+00:00,"{'tipo': 'SOPORTE', 'precio': 4006.15, 'volumen': 711.874}",4038.05,0.096,4038.41999999975,1.783e-05,"[{""side"": ""BUY"", ""price"": ""4032"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""4034.02"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""0"", ""qty"": ""0"", ""reduceOnly"": true}, {""side"": ""SELL"", ""price"": ""4046.50"", ""qty"": ""0.096"", ""reduceOnly"": true}]","[{""price"": ""0"", ""qty"": ""0"", ""clientOrderId"": ""x-Cb7ytekJ5d1d86f3c95cac85af4e1c""}, {""price"": ""4046.50"", ""qty"": ""0.096"", ""clientOrderId"": ""TP_AUTO_TP_1759086512012""}]",3998.04,v1,ETHUSDT
2025-09-28T19:08:59.028788+00:00,"{'tipo': 'SOPORTE', 'precio': 4006.15, 'volumen': 711.874}",4038.06,0.096,4038.41999999975,1.783e-05,"[{""side"": ""BUY"", ""price"": ""4031.99"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""4034.01"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""0"", ""qty"": ""0"", ""reduceOnly"": true}, {""side"": ""SELL"", ""price"": ""4046.50"", ""qty"": ""0.096"", ""reduceOnly"": true}]","[{""price"": ""0"", ""qty"": ""0"", ""clientOrderId"": ""x-Cb7ytekJ9dac0234531599db5d99f""}, {""price"": ""4046.50"", ""qty"": ""0.096"", ""clientOrderId"": ""TP_AUTO_TP_1759086538051""}]",3998.04,v1,ETHUSDT
2025-09-28T19:09:21.982680+00:00,"{'tipo': 'SOPORTE', 'precio': 4004.47, 'volumen': 706.235}",4035.86,0.096,4038.41999999975,1.783e-05,"[{""side"": ""BUY"", ""price"": ""4031.99"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""4034.01"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""0"", ""qty"": ""0"", ""reduceOnly"": true}, {""side"": ""SELL"", ""price"": ""4046.50"", ""qty"": ""0.096"", ""reduceOnly"": true}]","[{""price"": ""0"", ""qty"": ""0"", ""clientOrderId"": ""x-Cb7ytekJ9dac0234531599db5d99f""}, {""price"": ""4046.50"", ""qty"": ""0.096"", ""clientOrderId"": ""TP_AUTO_TP_1759086538051""}]",3998.04,v1,ETHUSDT
2025-09-28T19:09:25.431598+00:00,"{'tipo': 'SOPORTE', 'precio': 4004.47, 'volumen': 706.235}",4035.86,0.096,4038.41999999975,1.783e-05,"[{""side"": ""BUY"", ""price"": ""4029.81"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""4033.84"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""SELL"", ""price"": ""0"", ""qty"": ""0"", ""reduceOnly"": true}, {""side"": ""SELL"", ""price"": ""4046.50"", ""qty"": ""0.096"", ""reduceOnly"": true}, {""side"": ""BUY"", ""price"": ""4031.82"", ""qty"": ""0.024"", ""reduceOnly"": false}]","[{""price"": ""0"", ""qty"": ""0"", ""clientOrderId"": ""x-Cb7ytekJ6c88a5c190e15d43ffabbf""}, {""price"": ""4046.50"", ""qty"": ""0.096"", ""clientOrderId"": ""TP_AUTO_TP_1759086564441""}]",3998.04,v1,ETHUSDT
