ciclo_id,num_fills,spacing_promedio,spacing_maximo,spacing_minimo,spacing_std,drawdown_max,pnl,price_range,duracion_sec,ratio_fills_range
1,2,0.0,0.0,0.0,0.0,0.0,0.3610388800000066,0.0,2421.0,0.0
2,4,4.739999999999782,5.899999999999636,3.5799999999999272,1.6404877323525844,-0.3264999999999418,0.9110504299999808,9.479999999999563,13172.0,0.42194092827006163
3,10,4.006249999999966,11.629999999999654,1.0900000000001455,3.638822170114065,-1.5861600000001137,2.260610269999886,16.9699999999998,4483.0,0.5892751915144442
4,16,3.8684615384614656,10.960000000000036,0.0,2.7269758773955983,-3.13858000000008,3.5481404499995617,30.40999999999985,6501.0,0.526142716211775
5,4,3.605000000000018,5.610000000000127,1.599999999999909,2.8354981925582097,-0.2202499999999873,0.7787629599999499,7.210000000000036,9446.0,0.5547850208044355
6,2,0.0,0.0,0.0,0.0,0.0,0.2497550999999876,0.0,3591.0,0.0
7,12,2.488888888888899,6.369999999999891,0.0,1.9822679211224699,-2.1037799999999613,2.2338954700000206,22.40000000000009,7052.0,0.5357142857142836
8,32,3.475769230769209,7.5300000000002,0.6100000000001273,1.7589432579294522,-14.34288999999947,5.1227810399998885,40.690000000000055,47299.0,0.7864340132710729
9,2,0.0,0.0,0.0,0.0,0.0,0.2698988899999939,0.0,907.0,0.0
10,21,1.9884210526315655,6.540000000000418,0.0,1.7287351289885968,-3.10584000000004,3.4831185500001003,22.230000000000015,3524.0,0.9446693657219967
11,5,5.160000000000006,7.9399999999996,3.4200000000000728,2.43285840114019,-0.7262400000000052,0.7740973899999634,15.480000000000018,1258.0,0.32299741602067145
12,3,2.019999999999982,2.019999999999982,2.019999999999982,,-0.0484799999999668,0.3872887100000294,2.019999999999982,536.0,1.4851485148514985
13,6,2.230000000000018,3.869999999999891,1.3899999999998727,1.1186897097348105,-0.4425600000000122,0.9684616699999936,8.920000000000073,9525.0,0.6726457399103084
14,2,0.0,0.0,0.0,0.0,1.0913936421275139e-14,0.1946043500000068,0.0,4504.0,0.0
15,2,0.0,0.0,0.0,0.0,0.0,0.1972440400000063,0.0,289.0,0.0
16,10,1.592857142857221,3.1099999999996726,0.42000000000007276,0.9197411644172039,-0.68208000000022,1.5835406699999208,9.789999999999964,2418.0,1.0214504596527105
17,2,0.0,0.0,0.0,0.0,0.0,0.1984440199999893,0.0,1141.0,0.0
18,2,0.0,0.0,0.0,0.0,0.0,0.1979641100000075,0.0,571.0,0.0
19,3,4.0,4.0,4.0,,-0.096,0.3954484300000331,4.0,156.0,0.75
20,2,0.0,0.0,0.0,0.0,0.0,0.1979642099999932,0.0,56.0,0.0
21,2,0.0,0.0,0.0,0.0,0.0,0.1972442700000063,0.0,782.0,0.0
22,2,0.0,0.0,0.0,0.0,0.0,0.1972443399999921,0.0,459.0,0.0
23,4,6.110000000000127,7.039999999999964,5.180000000000291,1.315218613006747,-0.5394000000000169,0.7643227300000424,12.220000000000256,5246.0,0.3273322422258524
24,2,0.0,0.0,0.0,0.0,0.0,0.2544645499999962,0.0,2357.0,0.0
25,4,3.689999999999827,4.309999999999491,3.0700000000001637,0.8768124086708431,-0.3239499999999802,0.7621537400000072,7.379999999999654,537.0,0.5420054200542259
26,3,6.2800000000002,6.2800000000002,6.2800000000002,,-0.1946799999999921,0.507069369999999,6.2800000000002,1639.0,0.47770700636941155
27,2,0.0,0.0,0.0,0.0,0.0,0.2557042200000203,0.0,2088.0,0.0
28,2,0.0,0.0,0.0,0.0,0.0,0.2557041599999919,0.0,1288.0,0.0
29,9,6.350000000000104,15.469999999999345,2.2100000000000364,4.804376477060413,-2.975380000000043,2.0369551900000222,34.47999999999956,7123.0,0.26102088167053694
30,3,11.329999999999927,11.329999999999927,11.329999999999927,,-0.3512299999999977,0.5086188100000077,11.329999999999927,574.0,0.2647837599293927
31,7,5.080000000000018,8.210000000000036,1.6300000000001091,2.8511050489238707,-1.4830400000001032,1.5218266099999094,20.579999999999927,1314.0,0.3401360544217699
32,2,0.0,0.0,0.0,0.0,0.0,0.2544643600000104,0.0,46.0,0.0
33,2,0.0,0.0,0.0,0.0,0.0,0.2726854500000179,0.0,77.0,0.0
34,5,1.179999999999988,3.5399999999999636,0.0,2.043819952931254,-0.109740000000027,0.5156798699999687,3.539999999999964,179.0,1.4124293785310877
35,3,3.130000000000109,3.130000000000109,3.130000000000109,,-0.0970299999999751,0.5166783899999513,3.130000000000109,133.0,0.958466453674088
36,2,0.0,0.0,0.0,0.0,0.0,0.2587700099999954,0.0,114.0,0.0
37,24,4.1919047619047065,10.4399999999996,0.0,3.0707012538630223,-18.595969999998964,5.406885010000256,63.85999999999967,14946.0,0.37582211086752465
38,4,3.119999999999891,3.119999999999891,3.119999999999891,,-0.0967199999999684,0.5163686200000519,3.119999999999891,271.0,1.2820512820513268
39,2,0.0,0.0,0.0,0.0,0.0,0.2594243300000216,0.0,193.0,0.0
40,2,0.0,0.0,0.0,0.0,0.0,0.253155580000021,0.0,110.0,0.0
41,2,0.0,0.0,0.0,0.0,0.0,0.2531556500000067,0.0,505.0,0.0
42,3,3.1700000000000728,3.1700000000000728,3.1700000000000728,,-0.0951000000000021,0.505411350000012,3.1700000000000728,127.0,0.9463722397476123
43,3,3.719999999999345,3.719999999999345,3.719999999999345,,-0.1115999999999803,0.5063118199999567,3.719999999999345,2947.0,0.8064516129033678
