ciclo_id,num_fills,spacing_promedio,drawdown_max,pnl_original,pnl_simulado,cierre_simulado,sl_pnl,tocaria_sl,price_range,duracion_sec,detalle
1.0,2.0,0.0,0.0,0.3610388800000066,0.3610388800000066,TP,-0.48101520000000164,False,0.0,2421.0,"TP, PNL original: 0.3610"
2.0,4.0,4.739999999999782,-0.3264999999999418,0.9110504299999808,0.9110504299999808,TP,-1.4956362499999842,False,9.479999999999563,13172.0,"TP, PNL original: 0.9111"
3.0,10.0,4.006249999999966,-1.5861600000001137,2.260610269999886,2.260610269999886,TP,-4.349099550000038,False,16.9699999999998,4483.0,"TP, PNL original: 2.2606"
4.0,16.0,3.8684615384614656,-3.13858000000008,3.5481404499995617,3.5481404499995617,TP,-6.9407884999999885,False,30.40999999999985,6501.0,"TP, PNL original: 3.5481"
5.0,4.0,3.605000000000018,-0.2202499999999873,0.7787629599999499,0.7787629599999499,TP,-1.4975912499999937,False,7.210000000000036,9446.0,"TP, PNL original: 0.7788"
6.0,2.0,0.0,0.0,0.2497550999999876,0.2497550999999876,TP,-0.4803408000000018,False,0.0,3591.0,"TP, PNL original: 0.2498"
7.0,12.0,2.488888888888899,-2.1037799999999613,2.2338954700000206,2.2338954700000206,TP,-4.357441199999986,False,22.40000000000009,7052.0,"TP, PNL original: 2.2339"
8.0,32.0,3.475769230769209,-14.34288999999947,5.1227810399998885,-13.279072849999954,SL,-13.279072849999954,True,40.690000000000055,47299.0,"SL (0.50%) tocado, PNL ajustado: -13.2791"
9.0,2.0,0.0,0.0,0.2698988899999939,0.2698988899999939,TP,-0.48208320000000093,False,0.0,907.0,"TP, PNL original: 0.2699"
10.0,21.0,1.988421052631565,-3.10584000000004,3.4831185500001003,3.4831185500001003,TP,-8.70656159999998,False,22.23000000000001,3524.0,"TP, PNL original: 3.4831"
11.0,5.0,5.160000000000006,-0.7262400000000052,0.7740973899999634,0.7740973899999634,TP,-1.9349639999999928,False,15.480000000000018,1258.0,"TP, PNL original: 0.7741"
12.0,3.0,2.019999999999982,-0.0484799999999668,0.3872887100000294,0.3872887100000294,TP,-0.9683495999999941,False,2.019999999999982,536.0,"TP, PNL original: 0.3873"
13.0,6.0,2.230000000000018,-0.4425600000000122,0.9684616699999936,0.9684616699999936,TP,-2.4224987999999756,False,8.920000000000073,9525.0,"TP, PNL original: 0.9685"
14.0,2.0,0.0,1.0913936421275139e-14,0.1946043500000068,0.1946043500000068,TP,-0.48644759999999954,False,0.0,4504.0,"TP, PNL original: 0.1946"
