timestamp,signal_tipo,signal_precio,signal_vol,last_price,position_qty,position_avg,fees,num_open_orders,num_buy_orders,num_sell_orders,buy_spacing_avg,buy_spacing_min,buy_spacing_max,num_buy_same_price,buy_vol_total,buy_vol_avg,tp_price,tp_qty,tp_distance,sl_price,sl_distance,bot_version,symbol,fills_seq,volatilidad,drawdown,drawdown_max_5
2025-09-27 13:42:06.843534,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:42:16.902453,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:45:27.394272+00:00,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:45:37.413850+00:00,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:45:47.435782+00:00,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:45:57.462159+00:00,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:46:07.517769+00:00,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:46:18.257509+00:00,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:46:28.288287+00:00,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:48:54.418942+00:00,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:49:04.425239+00:00,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,0.0,0.0
2025-09-27 13:53:27.835745+00:00,SOPORTE,3857.4,741.809,4018.13,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.0,-4018.13,0.0
2025-09-27 13:53:37.844712+00:00,SOPORTE,3857.4,3031.298,4018.13,0.0,0.0,0.0,19,19,0,12.054444444444446,12.049999999999727,12.059999999999945,0,0.47900000000000004,0.025210526315789475,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,BUY:4006.08:0.024;BUY:3969.91:0.025;BUY:3885.53:0.025;BUY:3957.86:0.025;BUY:3994.02:0.025;BUY:3873.48:0.025;BUY:3945.80:0.025;BUY:3909.64:0.025;BUY:3801.15:0.026;BUY:3897.59:0.025;BUY:3921.69:0.025;BUY:3813.21:0.026;BUY:3789.10:0.026;BUY:3861.42:0.025;BUY:3837.31:0.026;BUY:3981.97:0.025;BUY:3933.75:0.025;BUY:3849.37:0.025;BUY:3825.26:0.026,0.0,-4018.13,0.0
2025-09-27 13:53:47.862465+00:00,SOPORTE,200.0,107.06200000000001,4017.64,0.0,0.0,0.0,19,19,0,12.054444444444446,12.049999999999727,12.059999999999945,0,0.47900000000000004,0.025210526315789475,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,BUY:4006.08:0.024;BUY:3969.91:0.025;BUY:3885.53:0.025;BUY:3957.86:0.025;BUY:3994.02:0.025;BUY:3873.48:0.025;BUY:3945.80:0.025;BUY:3909.64:0.025;BUY:3801.15:0.026;BUY:3897.59:0.025;BUY:3921.69:0.025;BUY:3813.21:0.026;BUY:3789.10:0.026;BUY:3861.42:0.025;BUY:3837.31:0.026;BUY:3981.97:0.025;BUY:3933.75:0.025;BUY:3849.37:0.025;BUY:3825.26:0.026,0.0,-4017.64,0.0
2025-09-27 13:53:57.890380+00:00,SOPORTE,3000.0,1526.658,4017.65,0.0,0.0,0.0,19,19,0,12.054444444444446,12.049999999999727,12.059999999999945,0,0.47900000000000004,0.025210526315789475,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,BUY:4006.08:0.024;BUY:3969.91:0.025;BUY:3885.53:0.025;BUY:3957.86:0.025;BUY:3994.02:0.025;BUY:3873.48:0.025;BUY:3945.80:0.025;BUY:3909.64:0.025;BUY:3801.15:0.026;BUY:3897.59:0.025;BUY:3921.69:0.025;BUY:3813.21:0.026;BUY:3789.10:0.026;BUY:3861.42:0.025;BUY:3837.31:0.026;BUY:3981.97:0.025;BUY:3933.75:0.025;BUY:3849.37:0.025;BUY:3825.26:0.026,0.0,-4017.65,0.0
2025-09-27 13:54:07.885834+00:00,SOPORTE,200.0,120.20199999999998,4017.65,0.0,0.0,0.0,19,19,0,12.054444444444446,12.049999999999727,12.059999999999945,0,0.47900000000000004,0.025210526315789475,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,BUY:4006.08:0.024;BUY:3969.91:0.025;BUY:3885.53:0.025;BUY:3957.86:0.025;BUY:3994.02:0.025;BUY:3873.48:0.025;BUY:3945.80:0.025;BUY:3909.64:0.025;BUY:3801.15:0.026;BUY:3897.59:0.025;BUY:3921.69:0.025;BUY:3813.21:0.026;BUY:3789.10:0.026;BUY:3861.42:0.025;BUY:3837.31:0.026;BUY:3981.97:0.025;BUY:3933.75:0.025;BUY:3849.37:0.025;BUY:3825.26:0.026,0.2647640458974305,-4017.65,-4017.64
2025-09-27 13:54:17.912985+00:00,SOPORTE,200.0,1541.9499999999998,4017.77,0.0,0.0,0.0,19,19,0,12.054444444444446,12.049999999999727,12.059999999999945,0,0.47900000000000004,0.025210526315789475,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,BUY:4006.08:0.024;BUY:3969.91:0.025;BUY:3885.53:0.025;BUY:3957.86:0.025;BUY:3994.02:0.025;BUY:3873.48:0.025;BUY:3945.80:0.025;BUY:3909.64:0.025;BUY:3801.15:0.026;BUY:3897.59:0.025;BUY:3921.69:0.025;BUY:3813.21:0.026;BUY:3789.10:0.026;BUY:3861.42:0.025;BUY:3837.31:0.026;BUY:3981.97:0.025;BUY:3933.75:0.025;BUY:3849.37:0.025;BUY:3825.26:0.026,0.2093322717592611,-4017.77,-4017.64
2025-09-27 13:55:33.336025+00:00,nan,0.0,0.0,4018.7,0.0,0.0,0.0,19,19,0,12.054444444444446,12.049999999999727,12.059999999999945,0,0.47900000000000004,0.025210526315789475,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,BUY:4006.08:0.024;BUY:3969.91:0.025;BUY:3885.53:0.025;BUY:3957.86:0.025;BUY:3994.02:0.025;BUY:3873.48:0.025;BUY:3945.80:0.025;BUY:3909.64:0.025;BUY:3801.15:0.026;BUY:3897.59:0.025;BUY:3921.69:0.025;BUY:3813.21:0.026;BUY:3789.10:0.026;BUY:3861.42:0.025;BUY:3837.31:0.026;BUY:3981.97:0.025;BUY:3933.75:0.025;BUY:3849.37:0.025;BUY:3825.26:0.026,0.4604019982579531,-4018.7,-4017.64
2025-09-27 13:55:43.357790+00:00,SOPORTE,200.0,1581.831,4018.1,0.0,0.0,0.0,19,19,0,12.054444444444446,12.049999999999727,12.059999999999945,0,0.47900000000000004,0.025210526315789475,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,BUY:4006.08:0.024;BUY:3969.91:0.025;BUY:3885.53:0.025;BUY:3957.86:0.025;BUY:3994.02:0.025;BUY:3873.48:0.025;BUY:3945.80:0.025;BUY:3909.64:0.025;BUY:3801.15:0.026;BUY:3897.59:0.025;BUY:3921.69:0.025;BUY:3813.21:0.026;BUY:3789.10:0.026;BUY:3861.42:0.025;BUY:3837.31:0.026;BUY:3981.97:0.025;BUY:3933.75:0.025;BUY:3849.37:0.025;BUY:3825.26:0.026,0.44567925686525456,-4018.1,-4017.65
2025-09-27 13:55:53.405311+00:00,SOPORTE,200.0,1535.865,4018.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,,0.40771313444635626,-4018.1,-4017.65
2025-09-27 13:56:03.471522+00:00,DUMP,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,1.199999999999818,1.199999999999818,1.199999999999818,0,0.048,0.024,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,BUY:4015.69:0.024;BUY:4016.89:0.024,1796.979166345564,0.0,0.0
2025-09-27 13:56:13.573970+00:00,SOPORTE,3948.48,117.866,4018.57,0.0,0.0,0.0,2,2,0,1.199999999999818,1.199999999999818,1.199999999999818,0,0.048,0.024,0.0,0.0,0.0,0.0,0.0,v1,ETHUSDT,BUY:4015.69:0.024;BUY:4016.89:0.024,1797.068598212099,-4018.57,0.0
